lesson,TEKS,Human_TEKS,machine_readable
7.10,7.B,A1.7.B,3fb35ebc-c47b-5587-bcb3-bea5d161e2ad
7.2,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.3,6.B,A1.6.B,f6d6a34a-1af7-5aa8-bb82-5e5f8dd0d9d0
7.4,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
7.5,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.5,12.B,A1.12.B,75ad8f40-a6fc-5195-b41b-b0ee8e2c31dd
7.6,6.A,A1.6.A,fa787ef7-5994-593c-9ce9-6555f4d60783
7.6,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.7,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.7,6.A,A1.6.A,fa787ef7-5994-593c-9ce9-6555f4d60783
7.8,10.B,A1.10.B,37810e03-5ece-5e96-bffb-e1e35b609643
7.9,6.B,A1.6.B,f6d6a34a-1af7-5aa8-bb82-5e5f8dd0d9d0
7.9,10.B,A1.10.B,37810e03-5ece-5e96-bffb-e1e35b609643
7.11,7.B,A1.7.B,3fb35ebc-c47b-5587-bcb3-bea5d161e2ad
7.11,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.12,7.B,A1.7.B,3fb35ebc-c47b-5587-bcb3-bea5d161e2ad
7.12,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.12,7.C,A1.7.C,214b75ff-4986-5ed1-aee2-1121e41e5bb8
7.13,6.C,A1.6.C,81a6b7f7-cea8-5946-8521-5f4e6d73bc03
7.13,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.14,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.15,7.C,A1.7.C,214b75ff-4986-5ed1-aee2-1121e41e5bb8
7.15,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.16,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.17,7.A,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594
7.17,6.A,A1.6.A,fa787ef7-5994-593c-9ce9-6555f4d60783
7.17,7.C,A1.7.C,214b75ff-4986-5ed1-aee2-1121e41e5bb8
8.1,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.2,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.3,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.4,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.5,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
8.6,8.A,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0
